City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
484670,Taman',RU,45.2117,36.7161,29.52,90,100,32.28
2194098,Ahipara,NZ,-35.1667,173.1667,65.5,77,100,5.19
3792379,Santa Rosa del Sur,CO,7.9644,-74.0544,90.72,37,21,2.86
2022143,Khuzhir,RU,53.1939,107.3397,6.33,88,30,2.24
2027004,Bayanday,RU,53.0661,105.5139,-6.0,100,99,4.29
2295517,Savelugu,GH,9.6244,-0.8253,93.45,27,100,1.9
2094342,Kavieng,PG,-2.5744,150.7967,80.42,79,100,4.05
5973108,Hearst,CA,49.6835,-83.6665,30.45,98,100,11.39
544440,Korsakovo,RU,53.2677,37.3569,13.93,96,9,5.37
3381041,Mana,GF,5.6592,-53.7767,80.65,76,35,11.99
1688696,San Policarpo,PH,12.1791,125.5072,79.03,81,100,14.14
1511997,Aktash,RU,50.3,87.7333,-11.24,91,61,5.19
3451478,Riachão das Neves,BR,-11.7461,-44.91,85.69,50,44,4.9
10722858,Forsytheganj,BY,52.6333,29.7333,13.73,97,19,4.25
2112309,Katsuura,JP,35.1333,140.3,50.41,85,100,15.1
1000006,Greytown,ZA,-29.0642,30.5928,64.11,98,100,3.27
3664956,Boca do Acre,BR,-8.7522,-67.3978,84.33,75,22,1.63
1634614,Nabire,ID,-3.3667,135.4833,74.35,93,100,2.95
3939168,Huarmey,PE,-10.0681,-78.1522,77.86,71,14,10.87
5915359,Cap-Chat,CA,49.1001,-66.6821,21.2,53,99,4.61
1645528,Denpasar,ID,-8.65,115.2167,79.72,88,40,12.66
49747,Oddur,SO,4.1213,43.8894,81.32,32,9,9.33
2646557,Horsham,GB,51.064,-0.3272,35.96,81,0,1.14
2152659,Port Macquarie,AU,-31.4333,152.9167,68.9,78,93,2.42
2109701,Auki,SB,-8.7676,160.7034,77.5,92,96,5.23
3164387,Vieste,IT,41.8825,16.175,42.71,51,34,14.38
53654,Mogadishu,SO,2.0371,45.3438,76.91,86,100,19.17
1505998,Idrinskoye,RU,54.3708,92.1358,5.27,98,99,2.57
3157799,Farsund,NO,58.0948,6.8047,43.05,100,100,7.09
2644210,Liverpool,GB,53.4106,-2.9779,44.42,83,75,3.44
1783621,Zunyi,CN,27.6867,106.9072,43.56,91,100,5.53
2156643,Mount Gambier,AU,-37.8333,140.7667,52.77,90,6,7.7
3924610,Achacachi,BO,-16.05,-68.6833,50.23,74,93,3.98
